Title,User Rating %,Genres,Cast
Jugaremos en el bosque,74,['Horror'],"['Lucía Gómez-Robledo, as Josefina', 'Alejandro Cuétara, as Curo Francisco', 'Julieta Egurrola, as Rosa', 'Arturo Ripstein, as Don Francisco (Patriarca)', 'Lucía Uribe, as Mariana', 'Alonso Navarro, as Tomás', 'Carolina Torres, as María']"
Raiders of the Lost Ark,79,"['Adventure', 'Action']","['Harrison Ford, as Indiana Jones', 'Karen Allen, as Marion Ravenwood', 'Paul Freeman, as Dr. René Belloq', 'John Rhys-Davies, as Sallah', 'Ronald Lacey, as Major Arnold Toht', 'Wolf Kahler, as Colonel Dietrich', 'Anthony Higgins, as Gobler', 'Denholm Elliott, as Dr. Marcus Brody', 'Alfred Molina, as Satipo']"
Deadpool & Wolverine,76,"['Action', 'Comedy', 'Science Fiction']","['Ryan Reynolds, as Wade Wilson / Deadpool / Nicepool', 'Hugh Jackman, as Logan / Wolverine', 'Emma Corrin, as Cassandra Nova', 'Matthew Macfadyen, as Mr. Paradox', 'Dafne Keen, as Laura / X-23', 'Jon Favreau, as Happy Hogan', 'Morena Baccarin, as Vanessa', 'Rob Delaney, as Peter', 'Leslie Uggams, as Blind Al']"
Ball Red Daughter-in-law,54,['Drama'],[]
Ne Zha 2,79,"['Animation', 'Fantasy', 'Adventure']","['Lü Yanting, as Young Nezha (voice)', 'Joseph, as Youth Nezha / Jie Jie Shou Left (voice)', 'Han Mo, as Ao Bing (voice)', 'Chen Hao, as Li Jing (voice)', 'Lü Qi, as Mrs. Yin (voice)', 'Zhang Jiaming, as Tai Yi Zhen Ren (voice)', 'Yang Wei, as Shen Gong Bao (voice)', 'Wang Deshun, as Wu Liang Xian Weng (voice)', 'Yu Chen, as Dong Hai Long Wang Ao Guang / Seller (voice)']"
The Wild Robot,83,"['Animation', 'Science Fiction', 'Family']","[""Lupita Nyong'o, as Roz / Rummage (voice)"", 'Pedro Pascal, as Fink (voice)', 'Kit Connor, as Brightbill (voice)', 'Bill Nighy, as Longneck (voice)', 'Stephanie Hsu, as Vontra (voice)', 'Matt Berry, as Paddler (voice)', 'Ving Rhames, as Thunderbolt (voice)', 'Mark Hamill, as Thorn (voice)', ""Catherine O'Hara, as Pinktail (voice)""]"
Your Fault,71,"['Romance', 'Drama']","['Nicole Wallace, as Noah Morgan', 'Gabriel Guevara, as Nick Leister', 'Marta Hazas, as Rafaela', 'Iván Sánchez, as William Leister', 'Eva Ruiz, as Jenna', 'Víctor Varona, as Lion', 'Gabriela Andrada, as Sofía', 'Alex Bejar, as Briar', 'Goya Toledo, as Anabel']"
Sex Game 6969,61,"['Comedy', 'Drama', 'Romance']","['Woo Yeol, as Jin-hui (지희)', 'So Jeong, as Hyo-ji (효지)', 'Lee Chae-dam, as Old Beauty', 'Kim Soo-ji, as Eun-hee (은희)', 'Yoo Jung, as Hyun-jeong (현정)']"
Memoir of a Snail,76,"['Animation', 'Drama', 'Comedy']","['Sarah Snook, as Grace (voice)', 'Kodi Smit-McPhee, as Gilbert (voice)', 'Jacki Weaver, as Pinky (voice)', 'Magda Szubanski, as Ruth Appleby (voice)', 'Dominique Pinon, as Percy Pudel (voice)', 'Tony Armstrong, as Ken (voice)', 'Paul Capsis, as Ian / Narelle (voice)', 'Eric Bana, as James the Magistrate (voice)', 'Bernie Clifford, as Owen Appleby (voice)']"
Absolution,59,"['Action', 'Crime', 'Thriller']","['Liam Neeson, as Thug', 'Ron Perlman, as Charlie Conner', 'Yolonda Ross, as Woman', 'Frankie Shaw, as Daisy', 'Daniel Diemer, as Kyle Conner', 'Javier Molina, as Gamberro', 'Jimmy Gonzales, as Diego Machado', ""Josh Drennen, as Thug's Dad"", 'Deanna Tarraza, as Araceli']"
Apocalypse Z: The Beginning of the End,67,"['Drama', 'Action', 'Horror']","['Francisco Ortiz, as Manel', 'José María Yázpik, as Pritchenko', 'Berta Vázquez, as Lucía', 'Iria del Río, as Julia', 'Marta Poveda, as Belén', 'Amalia Gómez, as Gabriela', 'María Salgueiro, as Sister Cecilia', 'Yuri Mykhaylychenko, as Ushakov', 'Ian Monclús, as Max']"
Aftermath,65,"['Action', 'Thriller']","['Dylan Sprouse, as Eric Daniels', ""Mason Gooding, as Jimmy 'Romeo' Roken"", ""Dichen Lachman, as Samantha 'Doc' Brown"", 'Megan Stott, as Madeleine Daniels', 'Kevin Chapman, as Inspector Terry Grimes', 'Will Lyman, as Joe Kozak', 'Tanner Zagarino, as Tango', 'Mark Irvingsen, as Wisdom', 'Mark Pettograsso, as Yankee']"
Number 24,70,"['War', 'History', 'Drama']","['Sjur Vatne Brean, as Gunnar Sønsteby (young)', 'Erik Hivju, as Gunnar Sønsteby (old)', 'Philip Helgar, as Edvard Tallaksen', 'Magnus Dugdale, as Andreas Aubert', 'Jakob Maanum Trulsen, as Erling Solheim', 'Jacob Jensen, as Jens Christian Hauge', 'Flo Fagerli, as Anne Solheim', 'Ines Høysæter Asserson, as Reidun Andersen', 'Lisa Loven Kongsli, as Gudrun Collett']"
Ask Me What You Want,61,"['Romance', 'Drama']","['Gabriela Andrada, as Judith Flores', 'Mario Ermito, as Eric Zimmerman', 'Celia Freijeiro, as Mónica', 'David Solans, as Miguel', 'Alba Ribas, as Frida', 'Joel Bosqued, as Andrés', 'Alicia Bercan, as Rebeca / Betta', 'Anna Karinvinge, as Amanda', 'Fernando Oyagüez, as Fernando']"
Inside Out 2,76,"['Animation', 'Adventure', 'Comedy', 'Family']","['Amy Poehler, as Joy (voice)', 'Maya Hawke, as Anxiety (voice)', 'Kensington Tallman, as Riley (voice)', 'Liza Lapira, as Disgust (voice)', 'Tony Hale, as Fear (voice)', 'Lewis Black, as Anger (voice)', 'Phyllis Smith, as Sadness (voice)', 'Ayo Edebiri, as Envy (voice)', 'Lilimar, as Valentina (voice)']"
Anora,70,"['Drama', 'Comedy', 'Romance']","['Mikey Madison, as Ani', 'Mark Eydelshteyn, as Ivan', 'Yura Borisov, as Igor', 'Karren Karagulian, as Toros', 'Vache Tovmasyan, as Garnik', 'Luna Sofía Miranda, as Lulu', 'Lindsey Normington, as Diamond', 'Darya Ekamasova, as Galina Zakharov', 'Aleksey Serebryakov, as Nikolai Zakharov']"
Dirty Angels,62,"['Action', 'Drama', 'Thriller', 'War']","['Eva Green, as Jake', 'Maria Bakalova, as The Bomb', 'Ruby Rose, as Medic', 'Reza Brojerdi, as Malik', 'Jojo T. Gibbs, as Geek', 'Emily Bruni, as Shooter', 'Aziz Çapkurt, as Abbas', ""Rona-Lee Shim'on, as Rocky"", 'George Iskandar, as Amir']"
Kingdom IV: Return of the Great General,69,"['Action', 'Adventure']","['Kento Yamazaki, as Ri Shin (Li Xin)', 'Takao Osawa, as Ou Ki (Wang Qi)', 'Ryo Yoshizawa, as Ei Sei (Yin Zheng)', 'Kanna Hashimoto, as Ka Ryo Ten (He Liao Diao)', 'Nana Seino, as Kyou Kai (Qiang Lei)', 'Shinnosuke Mitsushima, as Heki (Bi)', 'Amane Okayama, as Bi Hei (Wei Ping)', 'Takahiro Miura, as Bi Tou (Wei Dao)', 'Takayuki Hamatsu, as Taku Kei (Ze Gui)']"
Alien: Romulus,72,"['Horror', 'Science Fiction']","['Cailee Spaeny, as Rain', 'David Jonsson, as Andy', 'Archie Renaux, as Tyler', 'Isabela Merced, as Kay', 'Spike Fearn, as Bjorn', 'Aileen Wu, as Navarro', 'Rosie Ede, as WY Officer', 'Soma Simon, as 10-Year-Old Punk #1', 'Bence Okeke, as 10-Year-Old Punk #2']"
