Date,Month N Year,TotalVaccinated,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75+,Undisclosed
2021-06-16,2021-06-01,3,0,0,0,0,0,0,0,0,3
2021-06-16,2021-06-01,20492,202,1688,4459,3327,2877,3278,2728,1933,0
2021-06-16,2021-06-01,21655,508,2719,3037,4053,3950,3590,2265,1533,0
2021-06-16,2021-06-01,15703,346,2120,2185,2375,2812,2747,2051,1067,0
2021-06-16,2021-06-01,22896,564,2701,3821,3707,3557,4354,2719,1473,0
2021-06-16,2021-06-01,20743,470,2467,2599,3755,3650,3390,2967,1445,0
2021-06-16,2021-06-01,15408,217,1623,2034,2033,2358,2706,2517,1920,0
2021-06-16,2021-06-01,21689,622,3111,3189,4241,4505,3090,1880,1051,0
2021-06-16,2021-06-01,19403,503,2593,2769,3588,3736,3156,2064,994,0
2021-06-16,2021-06-01,33218,815,3220,2679,5175,5877,6138,6135,3179,0
2021-06-16,2021-06-01,12315,288,1772,1741,1897,2256,2195,1499,667,0
2021-06-16,2021-06-01,18867,375,1994,2873,2985,3018,3601,2635,1386,0
2021-06-16,2021-06-01,12073,279,1853,1990,2241,2338,1853,1043,476,0
2021-06-16,2021-06-01,25383,878,3405,3264,5133,5260,3804,2435,1204,0
2021-06-16,2021-06-01,10081,227,1677,1379,1531,1830,1740,1096,601,0
2021-06-16,2021-06-01,22772,334,1828,1767,2109,3301,5193,4918,3322,0
2021-06-16,2021-06-01,15158,354,2277,2524,2905,2711,2319,1373,695,0
2021-06-16,2021-06-01,10655,146,1078,1526,1464,1645,1956,1763,1077,0
2021-06-16,2021-06-01,14564,270,1351,2117,2359,2100,2590,2213,1564,0
2021-06-16,2021-06-01,21932,448,2113,3008,3194,3251,4150,3549,2219,0
2021-06-16,2021-06-01,11349,178,1393,2070,1852,1891,1939,1320,706,0
2021-06-16,2021-06-01,13038,220,1439,1937,2052,1812,2349,1935,1294,0
2021-06-16,2021-06-01,20490,576,2562,2227,2833,3576,4533,2778,1405,0
2021-06-16,2021-06-01,21444,315,1922,2020,2338,2829,3437,4034,4549,0
2021-06-16,2021-06-01,28367,570,2498,3061,4164,4217,5257,5049,3551,0
2021-06-16,2021-06-01,21438,189,1250,1815,1981,2102,4096,5346,4659,0
2021-06-16,2021-06-01,15556,152,1313,3273,2093,1897,2523,2238,2067,0
2021-06-16,2021-06-01,21829,246,1607,2045,2134,2487,3054,4739,5517,0
2021-06-16,2021-06-01,11615,218,1490,1582,1834,1930,1892,1704,965,0
2021-06-16,2021-06-01,21637,391,1833,3379,3674,3505,3723,2965,2167,0
2021-06-16,2021-06-01,18211,443,2360,2017,3009,3547,2791,2629,1415,0
2021-06-16,2021-06-01,15874,386,1947,1532,2337,2974,2723,2351,1624,0
2021-06-16,2021-06-01,14831,233,1589,2644,2568,2414,2533,1771,1079,0
2021-06-16,2021-06-01,12026,216,2225,1752,1879,2270,1899,1152,633,0
2021-06-16,2021-06-01,26028,455,1633,1329,2352,3058,3792,6069,7340,0
2021-06-16,2021-06-01,29901,180,10070,9138,3229,2237,2418,1674,955,0
2021-06-16,2021-06-01,31438,577,3596,5172,5135,5288,5614,3964,2092,0
2021-06-16,2021-06-01,25833,283,3899,5931,3613,2898,3496,2883,2830,0
2021-06-16,2021-06-01,18668,379,2423,2591,2832,3244,3424,2300,1475,0
2021-06-16,2021-06-01,24514,458,2781,3406,4020,4318,4118,3599,1814,0
2021-06-16,2021-06-01,30374,490,2745,4702,4962,4601,5328,4596,2950,0
2021-06-16,2021-06-01,21557,331,2442,3387,3313,3397,3771,3073,1843,0
2021-06-16,2021-06-01,21527,340,2682,4908,3795,3579,3350,1907,966,0
2021-06-16,2021-06-01,16553,367,2391,2436,2596,3074,2891,1815,983,0
2021-06-16,2021-06-01,18048,440,2843,2755,2829,3430,3109,1655,987,0
2021-06-16,2021-06-01,23212,352,2359,3000,3191,3529,4555,3840,2386,0
2021-06-16,2021-06-01,31307,451,3279,4561,3903,4557,5982,5311,3263,0
2021-06-16,2021-06-01,23834,567,3007,3590,4110,4191,4162,2730,1477,0
2021-06-16,2021-06-01,15542,381,2481,2529,2497,2892,2492,1496,774,0
2021-06-16,2021-06-01,18066,388,2733,2917,3032,3387,2971,1766,872,0
2021-06-16,2021-06-01,18875,268,2276,3483,2821,2779,3072,2347,1829,0
2021-06-16,2021-06-01,26960,549,2945,3178,4037,4435,5011,4661,2144,0
2021-06-16,2021-06-01,22496,465,2716,2876,3490,3812,4151,3103,1883,0
2021-06-16,2021-06-01,21865,180,1927,4787,3035,2710,3391,2981,2854,0
2021-06-16,2021-06-01,22059,335,2421,4336,3651,2985,3265,3079,1987,0
2021-06-16,2021-06-01,23567,402,2310,4028,3843,3569,4111,3240,2064,0
2021-06-16,2021-06-01,22726,299,1942,3374,3117,3183,4286,4010,2515,0
2021-06-16,2021-06-01,15803,372,2189,2512,2753,2802,2642,1705,828,0
2021-06-16,2021-06-01,14303,199,1689,2704,2327,2170,2489,1827,898,0
2021-06-16,2021-06-01,16542,242,1752,3210,2626,2336,2576,2363,1437,0
2021-06-16,2021-06-01,15188,186,1333,2893,2713,2244,2574,2137,1108,0
2021-06-16,2021-06-01,19055,345,2146,3018,2990,3202,3545,2535,1274,0
2021-06-16,2021-06-01,16649,274,1733,2332,2407,2590,3102,2362,1849,0
2021-06-16,2021-06-01,15539,300,1893,2227,2414,2709,2768,1902,1326,0
2021-06-16,2021-06-01,16141,238,1503,1804,2049,2039,2879,3269,2360,0
2021-06-16,2021-06-01,16451,313,1670,2115,2639,2513,2841,2305,2055,0
2021-06-16,2021-06-01,8992,210,1346,1273,1362,1638,1618,950,595,0
2021-06-16,2021-06-01,5680,31,951,1681,933,681,672,467,264,0
2021-06-16,2021-06-01,12299,217,937,1161,1683,1791,2357,2358,1795,0
2021-06-16,2021-06-01,10026,106,507,642,686,944,1933,2631,2577,0
2021-06-16,2021-06-01,15327,105,714,608,809,1519,3371,4539,3662,0
2021-06-16,2021-06-01,4918,85,586,432,747,914,968,831,355,0
2021-06-16,2021-06-01,6490,62,537,1443,1319,984,881,775,489,0
2021-06-16,2021-06-01,8700,55,356,543,598,786,1318,2700,2344,0
