Title,Company,Company_Rating,Company_Reviews,Location,Salary_Range,Experience,Post_Day,Tags,Description
Lead Data Scientist /  Lead Machine learning Engineer,Atyeti,4.3,129,"['Hybrid', 'Pune(Kharadi)']",Not disclosed,8-12 Yrs,Just Now,"['Tensorflow', 'Machine Learning', 'Scikit-Learn', 'Python', 'Machine', 'Data']","Experience in designing ML pipelines, including model versioning, model deployment, mod..."
Data Scientist / Data Analyst,.,No rating,No reviews,['Remote'],12-16 Lacs PA,3-5 Yrs,1 Day Ago,"['Data Science', 'NLP', 'Machine Learning', 'AI /ML', 'Data Analyst', 'SQL', 'Science', 'Aiml']","Key Responsibilities:Data Analysis:Collect, clean, and preprocess data for analysis.Pe..."
Data Scientist,Rlabs Enterprise Services,3.7,137,"['Hybrid', 'Hyderabad', 'Bengaluru']",Not disclosed,4-9 Yrs,Just Now,"['Machine Learning', 'Python', 'SQL', 'Data Visualization', 'Data Modeling', 'Statistics', 'R Program', 'Data']",Preferred experience in Data ModellingExperience in SQL and Python
Data Scientist - BLR/ HYD/ GGN,Genpact,3.9,27557,"['Hybrid', 'Hyderabad', 'Gurugram', 'Bengaluru']",Not disclosed,6-11 Yrs,6 Days Ago,"['Data Science', 'Predictive Modeling', 'Decision Tree', 'Text Analytics', 'Natural Language Processing', 'Neural Networks', 'Text Mining', 'LLM']","Furthermore, please do note that Genpact does not charge fees to process job applicatio..."
Data Scientist,Johnson and Johnson Kenvue,4.3,31,['Bengaluru'],Not disclosed,4-6 Yrs,3 Days Ago,"['Supply chain', 'Computer science', 'Data analysis', 'Operations research', 'data science', 'Coding', 'Machine learning', 'Data mining']",Required Qualifications: . Strong knowledge and understanding of Probability & Statisti...
Data Scientist III,Walmart,3.9,2164,['Bengaluru'],Not disclosed,4-9 Yrs,5 Days Ago,"['Supply chain', 'Prototype', 'data science', 'Machine learning', 'SEZ', 'Information technology', 'Monitoring', 'Business operations']",Develop and recommend process standards and best practices in Machine Learning as appli...
Data Scientist I,Honeywell,4.0,348,['Bengaluru'],Not disclosed,3-6 Yrs,5 Days Ago,"['Computer science', 'SQL queries', 'tableau', 'KPI', 'Analytical', 'power bi', 'Data analytics', 'Analyst II']",. B Tech /BE (Computer Science Stream is preferred) with 4+ years of professional exper...
Data Scientist,Johnson and Johnson Kenvue,4.3,31,['Bengaluru'],Not disclosed,3-5 Yrs,6 Days Ago,"['Supply chain', 'Computer science', 'Data analysis', 'Demand planning', 'Analytical', 'Agile', 'Data quality', 'FMCG']",Create Proof of concepts POCs Minimum Viable Products MVPs then guide them through to p...
Data Scientist,Calsoft,3.2,307,"['Pune(Pune Mumbai Highway)', 'Bengaluru']",Not disclosed,5-7 Yrs,2 Days Ago,"['Natural Language Processing', 'Machine Learning', 'Predictive Modeling', 'Artificial Intelligence', 'Neural Networks', 'Deep Learning', 'Data Science', 'Pattern Recognition']","Experience with large scale training and inference, and machine learning pipelines in p..."
Lead Data Scientist - Machine Learning/Artificial Intelligence,Tetrahed Inc,No rating,No reviews,['Bengaluru'],Not disclosed,7-10 Yrs,3 Days Ago,"['Data Science', 'Java', 'Azure', 'Strategy Development', 'Power BI', 'Artificial Intelligence', 'Tableau', 'Machine Learning']",We are seeking a highly skilled Lead Data Scientist with 7-10 years of experience in Da...
Data Scientist,Soul Ai,3.6,6,['Remote'],Not disclosed,0 Yrs,6 Days Ago,"['Data Science', 'Business Intelligence', 'Data Engineering', 'Natural Language Processing', 'Debugging', 'Data Cleansing', 'Machine Learning', 'Deep Learning']","These are project-based part-time roles that offer flexible hours, with an anticipated ..."
Data Scientist,Blend360 India,3.3,23,['Hyderabad'],Not disclosed,4-6 Yrs,1 Day Ago,"['Marketing Analytics', 'Machine Learning', 'Python', 'SQL', 'Pricing Analytics', 'Customer Analytics', 'Product Analysis', 'Analytics']",". Masters/ Bachelor degree in Computer Science, Computer Engineering, quantitative stud..."
Data Scientist - Phd only,NDS Infoserv,2.3,8,['Mumbai'],12-15 Lacs PA,0-2 Yrs,4 Days Ago,"['Natural Language Processing', 'Phd', 'Deep Learning', 'Data Science', 'Process', 'Data', 'Processing', 'Languages']","Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai..."
Data Scientist,IBM,4.1,20301,['Pune'],Not disclosed,10-15 Yrs,5 Days Ago,"['time series analysis', 'python', 'natural language processing', 'forecasting', 'pytorch', 'rest', 'kubernetes', 'github']","Demonstrated experience in AI projects, including familiarity with AI and machine learn..."
Data Scientist,AXA Global Business Services,3.8,1388,"['Hybrid', 'Pune', 'Bengaluru']",Not disclosed,4-9 Yrs,3 Days Ago,"['Machine Learning', 'Data Science', 'Python', 'Data Engineering', 'Artificial Intelligence', 'Natural Language Processing', 'Hadoop', 'Ci/Cd']",Expertise is required in the following fields: . Sound knowledge and practice of machin...
Data Scientist: Artificial Intelligence,IBM,4.1,20301,['Gurugram'],Not disclosed,5-8 Yrs,3 Days Ago,"['python', 'data analytics', 'tableau', 'data visualization', 'machine learning algorithms', 'algorithms', 'natural language processing', 'machine learning']",Required Technical and Professional Expertise . 5+ years of experience of Data Scientis...
Data Scientist: Artificial Intelligence,IBM,4.1,20301,['Gurugram'],Not disclosed,5-9 Yrs,5 Days Ago,"['python', 'data analytics', 'tableau', 'data visualization', 'machine learning algorithms', 'algorithms', 'natural language processing', 'machine learning']",Required Technical and Professional Expertise . 5+ years of experience of Data Scientis...
Data Scientist: Artificial Intelligence,IBM,4.1,20301,['Kolkata'],Not disclosed,5-7 Yrs,6 Days Ago,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']","Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,Ford,4.5,740,['Chennai'],Not disclosed,6-7 Yrs,5 Days Ago,"['Logistic regression', 'SAS', 'GCP', 'Analytical', 'Programming', 'Deployment', 'Analytics', 'SQL']","Should have strong hands-on experience in GitHub and GCP tools such as Big query, verte..."
"Data Scientist, Actimize",NICE,3.7,421,"['Hybrid', 'Pune']",Not disclosed,2-4 Yrs,5 Days Ago,"['python', 'data analysis', 'natural language processing', 'scikit-learn', 'neural networks', 'linear regression', 'machine learning', 'nice']",". At NICE, we work according to the NICE-FLEX hybrid model, which enables maximum flexi..."
Data Scientist(5),Ericsson,4.2,6564,['Noida'],Not disclosed,3-7 Yrs,6 Days Ago,"['Data management', 'Artificial Intelligence', 'Machine learning', 'Cloud', 'Programming', 'Business intelligence', 'Open source', 'Business understanding']","- Analyze, coordinate, prioritize, and optimize business requirements, and map th..."
Graduate Data Scientist,Worleyparsons,4.1,920,"['Mumbai', 'Navi Mumbai']",Not disclosed,5-10 Yrs,5 Days Ago,"['Computer science', 'Data analysis', 'Automation', 'Architecture', 'Analytical', 'Machine learning', 'Data quality', 'Information technology']",Understanding business objectives and developing models that help to achieve the...
Data Scientist,LLP S3bglobal Technologies,No rating,No reviews,"['Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai', 'Bengaluru']",Not disclosed,6-10 Yrs,6 Days Ago,['Data Scientist'],S3B Global is looking for Data Scientist to join our dynamic team and embark on a rewar...
Data Scientist,Ltimindtree,3.6,8841,"['Hybrid', 'Hyderabad', 'Bangalore Rural', 'Chennai']",Not disclosed,5-10 Yrs,6 Days Ago,"['Data Science', 'Pytorch', 'Python', 'Tensorflow', 'Pandas', 'Keras', 'Scikit-Learn', 'Numpy']","- More than 5 years of experience in Data Engineering, Data Science and AI / ML domain...."
